Regiao;UF;Estado;LAT;LON
Norte;Acre;AC;-8.77;-70.55
Nordeste;Alagoas;AL;-9.71;-35.73
Norte;Amapá;AP;1.41;-51.77
Norte;Amazonas;AM;-3.07;-61.66
Nordeste;Bahia;BA;-12.96;-38.51
Nordeste;Ceará;CE;-3.71;-38.54
Centro Oeste;Distrito Federal;DF;-15.83;-47.86
Sudeste;Espírito Santo;ES;-19.19;-40.34
Centro Oeste;Goiás;GO;-16.64;-49.31
Nordeste;Maranhão;MA;-2.55;-44.3
Centro Oeste;Mato Grosso;MT;-12.64;-55.42
Centro Oeste;Mato Grosso do Sul;MS;-20.51;-54.54
Sudeste;Minas Gerais;MG;-18.1;-44.38
Sul;Paraná;PR;-24.89;-51.55
Nordeste;Paraíba;PB;-7.06;-35.55
Norte;Pará;PA;-5.53;-52.29
Nordeste;Pernambuco;PE;-8.28;-35.07
Nordeste;Piauí;PI;-8.28;-43.68
Nordeste;Rio Grande do Norte;RN;-5.22;-36.52
Sul;Rio Grande do Sul;RS;-30.01;-51.22
Sudeste;Rio de Janeiro;RJ;-22.84;-43.15
Norte;Rondônia;RO;-11.22;-62.8
Norte;Roraima;RR;1.89;-61.22
Sul;Santa Catarina;SC;-27.33;-49.44
Nordeste;Sergipe;SE;-10.9;-37.07
Sudeste;São Paulo;SP;-23.55;-46.64
Centro Oeste;Tocantins;TO;-10.25;-48.25
